"統計期","性別","失業人口/總計[千人]","失業人口/研究所[千人]","失業人口/大學[千人]","失業人口/專科[千人]","失業人口/高中[千人]","失業人口/高職[千人]","失業人口/國中[初職][千人]","失業人口/國小以下[千人]","失業率/全體[%]","失業率/研究所[%]","失業率/大學[%]","失業率/專科[%]","失業率/高中[%]","失業率/高職[%]","失業率/國中[初職][%]","失業率/國小以下[%]"
"95年平均","總計",44,0,16,9,5,9,3,1,3.7,0,3.2,3.6,4.7,4.3,4.2,3.3
"95年平均","男",26,0,9,5,4,5,3,1,4.0,0,3.2,3.8,5.0,4.8,4.9,4.3
"95年平均","女",18,0,7,4,2,4,1,0,3.4,0,3.2,3.2,4.2,3.9,2.7,2.0
"96年平均","總計",45,0,19,8,5,9,3,1,3.7,0,3.6,3.2,4.4,4.5,3.9,1.9
"96年平均","男",25,0,9,4,4,5,2,0,3.8,0,3.4,3.3,5.0,4.8,4.6,2.5
"96年平均","女",20,0,9,4,1,5,1,0,3.6,0,3.8,3.1,3.3,4.2,2.4,1.2
"97年平均","總計",50,0,21,10,5,9,3,1,4.0,0,3.7,4.1,4.8,4.5,4.9,1.6
"97年平均","男",28,0,11,6,4,4,3,0,4.3,0,3.8,4.8,5.1,4.4,5.8,2.2
"97年平均","女",21,0,10,4,2,5,1,0,3.7,0,3.7,3.3,4.3,4.6,3.1,0.9
"98年平均","總計",72,0,32,15,7,12,4,1,5.8,0,5.4,6.0,6.7,6.4,6.3,4.4
"98年平均","男",43,0,18,9,5,7,3,1,6.6,0,5.7,7.2,7.5,7.7,7.5,5.2
"98年平均","女",29,0,15,6,2,5,1,0,4.9,0,5.0,4.7,5.4,5.2,3.6,3.5
"99年平均","總計",65,0,32,11,6,11,4,1,5.2,0,5.1,4.6,6.2,5.8,6.6,2.9
"99年平均","男",40,0,18,8,4,6,3,1,6.1,0,5.6,6.1,7.1,6.6,7.4,3.6
"99年平均","女",25,0,14,3,2,5,1,0,4.3,0,4.5,3.0,4.8,5.1,4.9,1.8
"100年平均","總計",56,4,25,10,5,9,2,1,4.4,2.4,5.1,4.0,5.2,5.0,4.3,2.5
"100年平均","男",33,2,12,6,4,5,2,0,4.9,2.0,5.3,5.0,6.4,5.9,4.8,3.7
